2025-11-13 19:31:47,452 - stock_data_manager - INFO - Директория данных: stock_data
2025-11-13 19:31:47,452 - stock_data_manager - INFO - StockDataManager инициализирован
2025-11-13 19:31:47,452 - technical_analysis - INFO - TA-lib доступна: False
2025-11-13 19:31:47,452 - technical_analysis - INFO - TA-lib доступна: False
2025-11-13 19:31:47,452 - report_generator - INFO - Директория отчётов: reports
2025-11-13 19:31:47,452 - stock_data_manager - INFO - Начинаем обновление для 5 акций
2025-11-13 19:31:47,452 - stock_data_manager - INFO - 
--- Обновление SBER ---
2025-11-13 19:31:47,452 - stock_data_manager - INFO - Файл для SBER не найден. Начнем с начала.
2025-11-13 19:31:47,452 - stock_data_manager - INFO - Загружаем исторические данные с 2024-11-13
2025-11-13 19:31:47,453 - stock_data_manager - INFO - Начинаем загрузку данных для SBER
2025-11-13 19:32:13,698 - stock_data_manager - INFO - ✓ SBER успешно обновлен (440 записей)
2025-11-13 19:32:13,698 - stock_data_manager - INFO - 
--- Обновление GAZP ---
2025-11-13 19:32:13,698 - stock_data_manager - INFO - Файл для GAZP не найден. Начнем с начала.
2025-11-13 19:32:13,698 - stock_data_manager - INFO - Загружаем исторические данные с 2024-11-13
2025-11-13 19:32:13,698 - stock_data_manager - INFO - Начинаем загрузку данных для GAZP
2025-11-13 19:32:14,045 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 0, еще: True)
2025-11-13 19:32:14,269 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 100, еще: True)
2025-11-13 19:32:14,502 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 200, еще: True)
2025-11-13 19:32:14,763 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 300, еще: True)
2025-11-13 19:32:14,998 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 400, еще: True)
2025-11-13 19:32:15,949 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 500, еще: True)
2025-11-13 19:32:16,375 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 600, еще: True)
2025-11-13 19:32:16,809 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 700, еще: True)
2025-11-13 19:32:17,176 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 800, еще: True)
2025-11-13 19:32:17,545 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 900, еще: True)
2025-11-13 19:32:17,768 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 1000, еще: True)
2025-11-13 19:32:18,039 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 1100, еще: True)
2025-11-13 19:32:18,346 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 1200, еще: True)
2025-11-13 19:32:18,559 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 1300, еще: True)
2025-11-13 19:32:18,777 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 1400, еще: True)
2025-11-13 19:32:19,006 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 1500, еще: True)
2025-11-13 19:32:19,268 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 1600, еще: True)
2025-11-13 19:32:19,504 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 1700, еще: True)
2025-11-13 19:32:19,727 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 1800, еще: True)
2025-11-13 19:32:19,965 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 1900, еще: True)
2025-11-13 19:32:20,212 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 2000, еще: True)
2025-11-13 19:32:20,465 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 2100, еще: True)
2025-11-13 19:32:20,743 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 2200, еще: True)
2025-11-13 19:32:20,959 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 2300, еще: True)
2025-11-13 19:32:21,181 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 2400, еще: True)
2025-11-13 19:32:21,432 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 2500, еще: True)
2025-11-13 19:32:21,685 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 2600, еще: True)
2025-11-13 19:32:21,935 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 2700, еще: True)
2025-11-13 19:32:22,153 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 2800, еще: True)
2025-11-13 19:32:22,398 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 2900, еще: True)
2025-11-13 19:32:22,647 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 3000, еще: True)
2025-11-13 19:32:22,898 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 3100, еще: True)
2025-11-13 19:32:23,125 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 3200, еще: True)
2025-11-13 19:32:23,341 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 3300, еще: True)
2025-11-13 19:32:23,558 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 3400, еще: True)
2025-11-13 19:32:23,781 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 3500, еще: True)
2025-11-13 19:32:23,997 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 3600, еще: True)
2025-11-13 19:32:24,234 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 3700, еще: True)
2025-11-13 19:32:24,442 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 3800, еще: True)
2025-11-13 19:32:24,653 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 3900, еще: True)
2025-11-13 19:32:24,900 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 4000, еще: True)
2025-11-13 19:32:25,132 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 4100, еще: True)
2025-11-13 19:32:25,357 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 4200, еще: True)
2025-11-13 19:32:25,572 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 4300, еще: True)
2025-11-13 19:32:25,800 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 4400, еще: True)
2025-11-13 19:32:26,036 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 4500, еще: True)
2025-11-13 19:32:26,288 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 4600, еще: True)
2025-11-13 19:32:26,538 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 4700, еще: True)
2025-11-13 19:32:26,793 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 4800, еще: True)
2025-11-13 19:32:27,089 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 4900, еще: True)
2025-11-13 19:32:27,357 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 5000, еще: True)
2025-11-13 19:32:27,664 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 5100, еще: True)
2025-11-13 19:32:27,975 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 5200, еще: True)
2025-11-13 19:32:28,279 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 5300, еще: True)
2025-11-13 19:32:28,586 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 5400, еще: True)
2025-11-13 19:32:28,893 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 5500, еще: True)
2025-11-13 19:32:29,119 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 5600, еще: True)
2025-11-13 19:32:29,348 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 5700, еще: True)
2025-11-13 19:32:29,560 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 5800, еще: True)
2025-11-13 19:32:29,815 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 5900, еще: True)
2025-11-13 19:32:30,122 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 6000, еще: True)
2025-11-13 19:32:30,349 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 6100, еще: True)
2025-11-13 19:32:30,579 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 6200, еще: True)
2025-11-13 19:32:30,839 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 6300, еще: True)
2025-11-13 19:32:31,047 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 6400, еще: True)
2025-11-13 19:32:31,282 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 6500, еще: True)
2025-11-13 19:32:31,515 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 6600, еще: True)
2025-11-13 19:32:31,779 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 6700, еще: True)
2025-11-13 19:32:32,017 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 6800, еще: True)
2025-11-13 19:32:32,273 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 6900, еще: True)
2025-11-13 19:32:32,494 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 7000, еще: True)
2025-11-13 19:32:32,719 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 7100, еще: True)
2025-11-13 19:32:32,954 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 7200, еще: True)
2025-11-13 19:32:33,192 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 7300, еще: True)
2025-11-13 19:32:33,430 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 7400, еще: True)
2025-11-13 19:32:33,704 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 7500, еще: True)
2025-11-13 19:32:33,920 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 7600, еще: True)
2025-11-13 19:32:34,146 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 7700, еще: True)
2025-11-13 19:32:34,355 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 7800, еще: True)
2025-11-13 19:32:34,626 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 7900, еще: True)
2025-11-13 19:32:34,836 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 8000, еще: True)
2025-11-13 19:32:35,039 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 8100, еще: True)
2025-11-13 19:32:35,259 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 8200, еще: True)
2025-11-13 19:32:35,466 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 8300, еще: True)
2025-11-13 19:32:35,679 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 8400, еще: True)
2025-11-13 19:32:35,915 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 8500, еще: True)
2025-11-13 19:32:36,138 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 8600, еще: True)
2025-11-13 19:32:36,399 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 8700, еще: True)
2025-11-13 19:32:36,639 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 8800, еще: True)
2025-11-13 19:32:36,881 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 8900, еще: True)
2025-11-13 19:32:37,102 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 9000, еще: True)
2025-11-13 19:32:37,344 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 9100, еще: True)
2025-11-13 19:32:37,589 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 9200, еще: True)
2025-11-13 19:32:37,826 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 9300, еще: True)
2025-11-13 19:32:38,083 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 9400, еще: True)
2025-11-13 19:32:38,314 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 9500, еще: True)
2025-11-13 19:32:38,538 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 9600, еще: True)
2025-11-13 19:32:38,761 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 9700, еще: True)
2025-11-13 19:32:38,991 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 9800, еще: True)
2025-11-13 19:32:39,236 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 9900, еще: True)
2025-11-13 19:32:39,543 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 10000, еще: True)
2025-11-13 19:32:39,797 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 10100, еще: True)
2025-11-13 19:32:40,027 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 10200, еще: True)
2025-11-13 19:32:40,271 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 10300, еще: True)
2025-11-13 19:32:40,508 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 10400, еще: True)
2025-11-13 19:32:41,123 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 10500, еще: True)
2025-11-13 19:32:41,359 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 10600, еще: True)
2025-11-13 19:32:41,618 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 10700, еще: True)
2025-11-13 19:32:41,860 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 10800, еще: True)
2025-11-13 19:32:42,104 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 10900, еще: True)
2025-11-13 19:32:42,339 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 11000, еще: True)
2025-11-13 19:32:42,595 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 11100, еще: True)
2025-11-13 19:32:42,823 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 11200, еще: True)
2025-11-13 19:32:43,045 - stock_data_manager - INFO - Загружено 100 записей для GAZP (позиция 11300, еще: True)
2025-11-13 19:32:43,275 - stock_data_manager - INFO - Загружено 49 записей для GAZP (позиция 11400, еще: False)
2025-11-13 19:32:43,326 - stock_data_manager - INFO - Загружено 514 записей для GAZP
2025-11-13 19:32:43,334 - stock_data_manager - INFO - Данные GAZP сохранены: stock_data/GAZP_full.csv
2025-11-13 19:32:43,334 - stock_data_manager - INFO - ✓ GAZP успешно обновлен (514 записей)
2025-11-13 19:32:43,335 - stock_data_manager - INFO - 
--- Обновление LKOH ---
2025-11-13 19:32:43,335 - stock_data_manager - INFO - Файл для LKOH не найден. Начнем с начала.
